ticker,symbol,industry
NSE:BAJAJHLDNG,BAJAJHLDNG,Finance
NSE:TMCV,TMCV,Agricultural Commercial & Construction Vehicles
NSE:ETERNAL,ETERNAL,Retailing
NSE:CANBK,CANBK,Banks
NSE:MAZDOCK,MAZDOCK,Industrial Manufacturing
NSE:BEL,BEL,Aerospace & Defense
NSE:AXISBANK,AXISBANK,Banks
NSE:TRENT,TRENT,Retailing
NSE:SBIN,SBIN,Banks
NSE:ADANIENT,ADANIENT,Metals & Minerals Trading
NSE:VBL,VBL,Beverages
NSE:ADANIPOWER,ADANIPOWER,Power
NSE:JIOFIN,JIOFIN,Finance
NSE:GODREJCP,GODREJCP,Personal Products
NSE:BANKBARODA,BANKBARODA,Banks
NSE:SOLARINDS,SOLARINDS,Chemicals & Petrochemicals
NSE:ONGC,ONGC,Oil
NSE:BAJFINANCE,BAJFINANCE,Finance
NSE:ADANIPORTS,ADANIPORTS,Transport Infrastructure
NSE:PNB,PNB,Banks
NSE:SUNPHARMA,SUNPHARMA,Pharmaceuticals & Biotechnology
NSE:DRREDDY,DRREDDY,Pharmaceuticals & Biotechnology
NSE:ABB,ABB,Electrical Equipment
NSE:COALINDIA,COALINDIA,Consumable Fuels
NSE:SIEMENS,SIEMENS,Electrical Equipment
NSE:ASIANPAINT,ASIANPAINT,Consumer Durables
NSE:HINDUNILVR,HINDUNILVR,Diversified FMCG
NSE:AMBUJACEM,AMBUJACEM,Cement & Cement Products
NSE:LICI,LICI,Insurance
NSE:UNITDSPR,UNITDSPR,Beverages
NSE:ITC,ITC,Diversified FMCG
NSE:SBILIFE,SBILIFE,Insurance
NSE:PFC,PFC,Finance
NSE:NTPC,NTPC,Power
NSE:TORNTPHARM,TORNTPHARM,Pharmaceuticals & Biotechnology
NSE:MOTHERSON,MOTHERSON,Auto Components
NSE:RELIANCE,RELIANCE,Petroleum Products
NSE:BAJAJFINSV,BAJAJFINSV,Finance
NSE:CIPLA,CIPLA,Pharmaceuticals & Biotechnology
NSE:ADANIENSOL,ADANIENSOL,Power
NSE:POWERGRID,POWERGRID,Power
NSE:KOTAKBANK,KOTAKBANK,Banks
NSE:INDHOTEL,INDHOTEL,Leisure Services
NSE:MAXHEALTH,MAXHEALTH,Healthcare Services
NSE:HDFCBANK,HDFCBANK,Banks
NSE:BHARTIARTL,BHARTIARTL,Telecom - Services
NSE:IRFC,IRFC,Finance
NSE:TCS,TCS,IT - Software
NSE:HAVELLS,HAVELLS,Consumer Durables
NSE:CHOLAFIN,CHOLAFIN,Finance
NSE:GAIL,GAIL,Gas
NSE:LT,LT,Construction
NSE:JSWENERGY,JSWENERGY,Power
NSE:ZYDUSLIFE,ZYDUSLIFE,Pharmaceuticals & Biotechnology
NSE:GRASIM,GRASIM,Cement & Cement Products
NSE:TATACONSUM,TATACONSUM,Agricultural Food & other Products
NSE:DLF,DLF,Realty
NSE:M&M,M&M,Automobiles
NSE:TATAPOWER,TATAPOWER,Power
NSE:BAJAJHFL,BAJAJHFL,Finance
NSE:RECLTD,RECLTD,Finance
NSE:WIPRO,WIPRO,IT - Software
NSE:HCLTECH,HCLTECH,IT - Software
NSE:CGPOWER,CGPOWER,Electrical Equipment
NSE:INDIGO,INDIGO,Transport Services
NSE:DMART,DMART,Retailing
NSE:BAJAJ-AUTO,BAJAJ-AUTO,Automobiles
NSE:MARUTI,MARUTI,Automobiles
NSE:APOLLOHOSP,APOLLOHOSP,Healthcare Services
NSE:NESTLEIND,NESTLEIND,Food Products
NSE:HAL,HAL,Aerospace & Defense
NSE:ULTRACEMCO,ULTRACEMCO,Cement & Cement Products
NSE:LODHA,LODHA,Realty
NSE:TECHM,TECHM,IT - Software
NSE:IOC,IOC,Petroleum Products
NSE:TITAN,TITAN,Consumer Durables
NSE:LTIM,LTIM,IT - Software
NSE:SHREECEM,SHREECEM,Cement & Cement Products
NSE:SHRIRAMFIN,SHRIRAMFIN,Finance
NSE:VEDL,VEDL,Diversified Metals
NSE:JINDALSTEL,JINDALSTEL,Ferrous Metals
NSE:BRITANNIA,BRITANNIA,Food Products
NSE:ADANIGREEN,ADANIGREEN,Power
NSE:ICICIBANK,ICICIBANK,Banks
NSE:BPCL,BPCL,Petroleum Products
NSE:HINDALCO,HINDALCO,Non - Ferrous Metals
NSE:DIVISLAB,DIVISLAB,Pharmaceuticals & Biotechnology
NSE:ICICIGI,ICICIGI,Insurance
NSE:JSWSTEEL,JSWSTEEL,Ferrous Metals
NSE:ENRIN,ENRIN,Electrical Equipment
NSE:TMPV,TMPV,Automobiles
NSE:HDFCLIFE,HDFCLIFE,Insurance
NSE:BOSCHLTD,BOSCHLTD,Auto Components
NSE:PIDILITIND,PIDILITIND,Chemicals & Petrochemicals
NSE:TATASTEEL,TATASTEEL,Ferrous Metals
NSE:HINDZINC,HINDZINC,Non - Ferrous Metals
NSE:NAUKRI,NAUKRI,Retailing
NSE:TVSMOTOR,TVSMOTOR,Automobiles
NSE:EICHERMOT,EICHERMOT,Automobiles
NSE:INFY,INFY,IT - Software
NSE:HYUNDAI,HYUNDAI,Automobiles
